,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,name,Ticker
0,2019-03-01,165.1406222524706,-594.4982995778627,672.504088812632,165.1406222524706,165.1406222524706,-105.54046778068033,-105.54046778068033,-105.54046778068033,117.2428409110066,117.2428409110066,117.2428409110066,-5.6998992662893375,-5.6998992662893375,-5.6998992662893375,-217.0834094253976,-217.0834094253976,-217.0834094253976,0.0,0.0,0.0,59.60015447179026,ETHEREUM,ETH
1,2019-03-02,164.54109225062555,-595.4920634024525,725.3297906228444,164.54109225062555,164.54109225062555,-102.68945785928656,-102.68945785928656,-102.68945785928656,117.2428409110066,117.2428409110066,117.2428409110066,-3.1417930089716815,-3.1417930089716815,-3.1417930089716815,-216.79050576132144,-216.79050576132144,-216.79050576132144,0.0,0.0,0.0,61.85163439133899,ETHEREUM,ETH
2,2019-03-03,163.94156224878049,-551.8548290607101,705.2533320180128,163.94156224878049,163.94156224878049,-99.19755020218457,-99.19755020218457,-99.19755020218457,117.2428409110066,117.2428409110066,117.2428409110066,-0.861532809650505,-0.861532809650505,-0.861532809650505,-215.57885830354067,-215.57885830354067,-215.57885830354067,0.0,0.0,0.0,64.74401204659591,ETHEREUM,ETH
3,2019-03-04,163.34203224693545,-564.6573068581456,763.3608754385293,163.34203224693545,163.34203224693545,-97.02630063518765,-97.02630063518765,-97.02630063518765,117.2428409110066,117.2428409110066,117.2428409110066,-0.8550485716203126,-0.8550485716203126,-0.8550485716203126,-213.41409297457395,-213.41409297457395,-213.41409297457395,0.0,0.0,0.0,66.3157316117478,ETHEREUM,ETH
4,2019-03-05,162.74250224509035,-580.7135010747344,700.8695884878584,162.74250224509035,162.74250224509035,-92.96739981348355,-92.96739981348355,-92.96739981348355,117.2428409110066,117.2428409110066,117.2428409110066,0.07786303397680311,0.07786303397680311,0.07786303397680311,-210.28810375846695,-210.28810375846695,-210.28810375846695,0.0,0.0,0.0,69.7751024316068,ETHEREUM,ETH
5,2019-03-06,162.1429722432453,-555.4683800589019,755.3256085076728,162.1429722432453,162.1429722432453,-79.09566421019763,-79.09566421019763,-79.09566421019763,117.2428409110066,117.2428409110066,117.2428409110066,9.88080528795564,9.88080528795564,9.88080528795564,-206.21931040915985,-206.21931040915985,-206.21931040915985,0.0,0.0,0.0,83.04730803304768,ETHEREUM,ETH
6,2019-03-07,161.54344224140024,-597.3626273317034,697.8077722367121,161.54344224140024,161.54344224140024,-83.40977865671883,-83.40977865671883,-83.40977865671883,117.2428409110066,117.2428409110066,117.2428409110066,0.5996053345950253,0.5996053345950253,0.5996053345950253,-201.25222490232048,-201.25222490232048,-201.25222490232048,0.0,0.0,0.0,78.13366358468141,ETHEREUM,ETH
7,2019-03-08,160.9439122395552,-636.4754275248752,722.6598430889549,160.9439122395552,160.9439122395552,-83.91339814600671,-83.91339814600671,-83.91339814600671,117.2428409110066,117.2428409110066,117.2428409110066,-5.699899266306255,-5.699899266306255,-5.699899266306255,-195.4563397907071,-195.4563397907071,-195.4563397907071,0.0,0.0,0.0,77.03051409354849,ETHEREUM,ETH
8,2019-03-09,160.34438223771014,-581.0252836640256,694.8686241667004,160.34438223771014,160.34438223771014,-74.82332050935229,-74.82332050935229,-74.82332050935229,117.2428409110066,117.2428409110066,117.2428409110066,-3.141793008977275,-3.141793008977275,-3.141793008977275,-188.9243684113816,-188.9243684113816,-188.9243684113816,0.0,0.0,0.0,85.52106172835785,ETHEREUM,ETH
9,2019-03-10,159.7448522358651,-597.528683497052,751.0530222233858,159.7448522358651,159.7448522358651,-65.38857471332025,-65.38857471332025,-65.38857471332025,117.2428409110066,117.2428409110066,117.2428409110066,-0.8615328096634037,-0.8615328096634037,-0.8615328096634037,-181.76988281466345,-181.76988281466345,-181.76988281466345,0.0,0.0,0.0,94.35627752254484,ETHEREUM,ETH
10,2019-03-11,159.14532223402,-511.89814298124094,768.9235731165512,159.14532223402,159.14532223402,-57.736617605075146,-57.736617605075146,-57.736617605075146,117.2428409110066,117.2428409110066,117.2428409110066,-0.8550485716175489,-0.8550485716175489,-0.8550485716175489,-174.1244099444642,-174.1244099444642,-174.1244099444642,0.0,0.0,0.0,101.40870462894486,ETHEREUM,ETH
11,2019-03-12,158.54579223217496,-481.0487440206987,747.2854979423267,158.54579223217496,158.54579223217496,-48.81335570865652,-48.81335570865652,-48.81335570865652,117.2428409110066,117.2428409110066,117.2428409110066,0.07786303398455349,0.07786303398455349,0.07786303398455349,-166.1340596536477,-166.1340596536477,-166.1340596536477,0.0,0.0,0.0,109.73243652351843,ETHEREUM,ETH
12,2019-03-13,157.9462622303299,-528.7126987558914,742.2504708685653,157.9462622303299,157.9462622303299,-30.832123074329363,-30.832123074329363,-30.832123074329363,117.2428409110066,117.2428409110066,117.2428409110066,9.880805287955448,9.880805287955448,9.880805287955448,-157.95576927329142,-157.95576927329142,-157.95576927329142,0.0,0.0,0.0,127.11413915600053,ETHEREUM,ETH
13,2019-03-14,157.34673222848485,-520.2076880850309,746.4004229199167,157.34673222848485,157.34673222848485,-31.910812175806317,-31.910812175806317,-31.910812175806317,117.2428409110066,117.2428409110066,117.2428409110066,0.5996053345801062,0.5996053345801062,0.5996053345801062,-149.75325842139304,-149.75325842139304,-149.75325842139304,0.0,0.0,0.0,125.43592005267854,ETHEREUM,ETH
14,2019-03-15,156.7472022266398,-550.2191282476421,833.5289351013764,156.7472022266398,156.7472022266398,-30.149852686938264,-30.149852686938264,-30.149852686938264,117.2428409110066,117.2428409110066,117.2428409110066,-5.699899266288059,-5.699899266288059,-5.699899266288059,-141.6927943316568,-141.6927943316568,-141.6927943316568,0.0,0.0,0.0,126.59734953970155,ETHEREUM,ETH
15,2019-03-16,156.14767222479475,-533.2172545133042,799.3286502503454,156.14767222479475,156.14767222479475,-19.837824175017616,-19.837824175017616,-19.837824175017616,117.2428409110066,117.2428409110066,117.2428409110066,-3.141793008982272,-3.141793008982272,-3.141793008982272,-133.93887207704194,-133.93887207704194,-133.93887207704194,0.0,0.0,0.0,136.30984804977714,ETHEREUM,ETH
16,2019-03-17,155.5481422229497,-462.71945252211395,781.0107698345366,155.5481422229497,155.5481422229497,-10.268607475140595,-10.268607475140595,-10.268607475140595,117.2428409110066,117.2428409110066,117.2428409110066,-0.8615328096552178,-0.8615328096552178,-0.8615328096552178,-126.64991557649198,-126.64991557649198,-126.64991557649198,0.0,0.0,0.0,145.27953474780912,ETHEREUM,ETH
17,2019-03-18,154.9486122211046,-475.26230571584875,780.3930136221092,154.9486122211046,154.9486122211046,-3.5863118674860526,-3.5863118674860526,-3.5863118674860526,117.2428409110066,117.2428409110066,117.2428409110066,-0.8550485716239765,-0.8550485716239765,-0.8550485716239765,-119.97410420686869,-119.97410420686869,-119.97410420686869,0.0,0.0,0.0,151.36230035361856,ETHEREUM,ETH
18,2019-03-19,154.34908221925957,-474.0580503989266,789.6124750535204,154.34908221925957,154.34908221925957,3.2752776972085558,3.2752776972085558,3.2752776972085558,117.2428409110066,117.2428409110066,117.2428409110066,0.07786303398805643,0.07786303398805643,0.07786303398805643,-114.04542624778612,-114.04542624778612,-114.04542624778612,0.0,0.0,0.0,157.62435991646814,ETHEREUM,ETH
19,2019-03-20,153.7495522174145,-454.2492341454933,816.3012342788094,153.7495522174145,153.7495522174145,18.143591812648552,18.143591812648552,18.143591812648552,117.2428409110066,117.2428409110066,117.2428409110066,9.88080528795898,9.88080528795898,9.88080528795898,-108.98005438631704,-108.98005438631704,-108.98005438631704,0.0,0.0,0.0,171.89314403006307,ETHEREUM,ETH
20,2019-03-21,153.15002221556946,-497.98784569022666,814.4276263958694,153.15002221556946,153.15002221556946,12.969315968205734,12.969315968205734,12.969315968205734,117.2428409110066,117.2428409110066,117.2428409110066,0.5996053346051498,0.5996053346051498,0.5996053346051498,-104.87313027740603,-104.87313027740603,-104.87313027740603,0.0,0.0,0.0,166.1193381837752,ETHEREUM,ETH
21,2019-03-22,152.5504922137244,-487.42318908855987,773.0979263422664,152.5504922137244,152.5504922137244,9.746906722315911,9.746906722315911,9.746906722315911,117.2428409110066,117.2428409110066,117.2428409110066,-5.699899266292784,-5.699899266292784,-5.699899266292784,-101.79603492239794,-101.79603492239794,-101.79603492239794,0.0,0.0,0.0,162.2973989360403,ETHEREUM,ETH
22,2019-03-23,151.95096221187936,-445.3465139021668,817.9026905708221,151.95096221187936,151.95096221187936,14.306838234596878,14.306838234596878,14.306838234596878,117.2428409110066,117.2428409110066,117.2428409110066,-3.1417930089747252,-3.1417930089747252,-3.1417930089747252,-99.79420966743501,-99.79420966743501,-99.79420966743501,0.0,0.0,0.0,166.25780044647624,ETHEREUM,ETH
23,2019-03-24,151.35143221003426,-487.0101476394631,844.2033488452831,151.35143221003426,151.35143221003426,17.495728853120905,17.495728853120905,17.495728853120905,117.2428409110066,117.2428409110066,117.2428409110066,-0.8615328096585148,-0.8615328096585148,-0.8615328096585148,-98.88557924822719,-98.88557924822719,-98.88557924822719,0.0,0.0,0.0,168.84716106315517,ETHEREUM,ETH
24,2019-03-25,150.75190220818922,-453.5850145960758,795.0022299555939,150.75190220818922,150.75190220818922,17.3281784824926,17.3281784824926,17.3281784824926,117.2428409110066,117.2428409110066,117.2428409110066,-0.8550485716153027,-0.8550485716153027,-0.8550485716153027,-99.0596138568987,-99.0596138568987,-99.0596138568987,0.0,0.0,0.0,168.08008069068183,ETHEREUM,ETH
25,2019-03-26,150.15237220634415,-432.98257344057316,840.9867461822853,150.15237220634415,150.15237220634415,17.043651898533053,17.043651898533053,17.043651898533053,117.2428409110066,117.2428409110066,117.2428409110066,0.07786303397898164,0.07786303397898164,0.07786303397898164,-100.27705204645255,-100.27705204645255,-100.27705204645255,0.0,0.0,0.0,167.1960241048772,ETHEREUM,ETH
26,2019-03-27,149.55284220449911,-469.2732417992104,808.4910680620546,149.55284220449911,149.55284220449911,24.6533554121092,24.6533554121092,24.6533554121092,117.2428409110066,117.2428409110066,117.2428409110066,9.880805287953258,9.880805287953258,9.880805287953258,-102.47029078685065,-102.47029078685065,-102.47029078685065,0.0,0.0,0.0,174.2061976166083,ETHEREUM,ETH
27,2019-03-28,148.95331220265405,-489.88187081843427,771.9230512365825,148.95331220265405,148.95331220265405,12.29801272412951,12.29801272412951,12.29801272412951,117.2428409110066,117.2428409110066,117.2428409110066,0.5996053345902304,0.5996053345902304,0.5996053345902304,-105.54443352146733,-105.54443352146733,-105.54443352146733,0.0,0.0,0.0,161.25132492678355,ETHEREUM,ETH
28,2019-03-29,148.35378220080898,-456.64032873667134,792.065331072007,148.35378220080898,148.35378220080898,2.16396963612592,2.16396963612592,2.16396963612592,117.2428409110066,117.2428409110066,117.2428409110066,-5.699899266285311,-5.699899266285311,-5.699899266285311,-109.37897200859537,-109.37897200859537,-109.37897200859537,0.0,0.0,0.0,150.5177518369349,ETHEREUM,ETH
29,2019-03-30,147.75425219896394,-500.73536233907186,786.9664657531757,147.75425219896394,147.75425219896394,0.2709844834875824,0.2709844834875824,0.2709844834875824,117.2428409110066,117.2428409110066,117.2428409110066,-3.141793008967179,-3.141793008967179,-3.141793008967179,-113.83006341855186,-113.83006341855186,-113.83006341855186,0.0,0.0,0.0,148.02523668245152,ETHEREUM,ETH
