,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,name,Ticker
0,2019-03-01,51.32727863986005,0.8225849280098074,105.34027150801899,51.32727863986005,51.32727863986005,2.676676852586846,2.676676852586846,2.676676852586846,7.788085958879669,7.788085958879669,7.788085958879669,-0.2681352177510293,-0.2681352177510293,-0.2681352177510293,-4.843273888541794,-4.843273888541794,-4.843273888541794,0.0,0.0,0.0,54.00395549244689,Monero,XMR
1,2019-03-02,51.46663377994282,-1.3511251785760425,104.25553830151733,51.46663377994282,51.46663377994282,1.8836869068527935,1.8836869068527935,1.8836869068527935,7.788085958879669,7.788085958879669,7.788085958879669,0.40823117154657323,0.40823117154657323,0.40823117154657323,-6.312630223573447,-6.312630223573447,-6.312630223573447,0.0,0.0,0.0,53.35032068679561,Monero,XMR
2,2019-03-03,51.60598892002558,3.2698909182023472,108.09966763627996,51.60598892002558,51.60598892002558,1.1062626246688456,1.1062626246688456,1.1062626246688456,7.788085958879669,7.788085958879669,7.788085958879669,1.1340268744746629,1.1340268744746629,1.1340268744746629,-7.815850208685485,-7.815850208685485,-7.815850208685485,0.0,0.0,0.0,52.712251544694425,Monero,XMR
3,2019-03-04,51.74534406010835,-4.5827099121543915,102.1847642900894,51.74534406010835,51.74534406010835,-1.3077740789688002,-1.3077740789688002,-1.3077740789688002,7.788085958879669,7.788085958879669,7.788085958879669,0.2257068468562658,0.2257068468562658,0.2257068468562658,-9.321566884704737,-9.321566884704737,-9.321566884704737,0.0,0.0,0.0,50.43756998113955,Monero,XMR
4,2019-03-05,51.88469920019112,-6.1769324180901,100.75770138614136,51.88469920019112,51.88469920019112,-3.3819174717210414,-3.3819174717210414,-3.3819174717210414,7.788085958879669,7.788085958879669,7.788085958879669,-0.370358850087462,-0.370358850087462,-0.370358850087462,-10.799644580513247,-10.799644580513247,-10.799644580513247,0.0,0.0,0.0,48.50278172847008,Monero,XMR
5,2019-03-06,52.02405434027389,-4.977270174348429,97.25566776682403,52.02405434027389,52.02405434027389,-4.959825526163984,-4.959825526163984,-4.959825526163984,7.788085958879669,7.788085958879669,7.788085958879669,-0.5260959057305273,-0.5260959057305273,-0.5260959057305273,-12.221815579313125,-12.221815579313125,-12.221815579313125,0.0,0.0,0.0,47.06422881410991,Monero,XMR
6,2019-03-07,52.163409480356655,-7.000543651146933,98.00592871972113,52.163409480356655,52.163409480356655,-6.377538648035214,-6.377538648035214,-6.377538648035214,7.788085958879669,7.788085958879669,7.788085958879669,-0.6033749193096978,-0.6033749193096978,-0.6033749193096978,-13.562249687605185,-13.562249687605185,-13.562249687605185,0.0,0.0,0.0,45.78587083232144,Monero,XMR
7,2019-03-08,52.302764620439426,-8.252213488104008,94.56872708920419,52.302764620439426,52.302764620439426,-7.27809242902535,-7.27809242902535,-7.27809242902535,7.788085958879669,7.788085958879669,7.788085958879669,-0.26813521774989196,-0.26813521774989196,-0.26813521774989196,-14.798043170155125,-14.798043170155125,-14.798043170155125,0.0,0.0,0.0,45.024672191414076,Monero,XMR
8,2019-03-09,52.44211976052219,-4.1193676421728584,98.71715113239169,52.44211976052219,52.44211976052219,-7.713298708907007,-7.713298708907007,-7.713298708907007,7.788085958879669,7.788085958879669,7.788085958879669,0.4082311715474594,0.4082311715474594,0.4082311715474594,-15.909615839334137,-15.909615839334137,-15.909615839334137,0.0,0.0,0.0,44.728821051615185,Monero,XMR
9,2019-03-10,52.58147490060495,-8.502844649880904,98.82279324165341,52.58147490060495,52.58147490060495,-7.958894863727924,-7.958894863727924,-7.958894863727924,7.788085958879669,7.788085958879669,7.788085958879669,1.1340268744746664,1.1340268744746664,1.1340268744746664,-16.881007697082257,-16.881007697082257,-16.881007697082257,0.0,0.0,0.0,44.622580036877025,Monero,XMR
