,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,name,Ticker
0,2019-03-01,0.0038999146887247886,-0.05231010966980729,0.02242468153173264,0.0038999146887247886,0.0038999146887247886,-0.018980107567022536,-0.018980107567022536,-0.018980107567022536,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,0.00032445775947483903,0.00032445775947483903,0.00032445775947483903,-0.0165815689948956,-0.0165815689948956,-0.0165815689948956,0.0,0.0,0.0,-0.015080192878297748,VECHAIN,VET
1,2019-03-02,0.0039161979750429714,-0.05011932882618712,0.024268358999176735,0.0039161979750429714,0.0039161979750429714,-0.018386053167830676,-0.018386053167830676,-0.018386053167830676,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,0.00014210170405130193,0.00014210170405130193,0.00014210170405130193,-0.0158051585402802,-0.0158051585402802,-0.0158051585402802,0.0,0.0,0.0,-0.014469855192787704,VECHAIN,VET
2,2019-03-03,0.003932481261361154,-0.04971762067971613,0.023877484738484486,0.003932481261361154,0.003932481261361154,-0.01731483990417319,-0.01731483990417319,-0.01731483990417319,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,0.00039591339096615503,0.00039591339096615503,0.00039591339096615503,-0.01498775696353757,-0.01498775696353757,-0.01498775696353757,0.0,0.0,0.0,-0.013382358642812037,VECHAIN,VET
3,2019-03-04,0.003948764547679337,-0.053296361014328754,0.025261621282560036,0.003948764547679337,0.003948764547679337,-0.016916008399729607,-0.016916008399729607,-0.016916008399729607,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,-5.3872031483826886e-05,-5.3872031483826886e-05,-5.3872031483826886e-05,-0.014139140036644002,-0.014139140036644002,-0.014139140036644002,0.0,0.0,0.0,-0.01296724385205027,VECHAIN,VET
4,2019-03-05,0.0039650478339975205,-0.04962595016066006,0.02377153504573185,0.0039650478339975205,0.0039650478339975205,-0.016197984466998286,-0.016197984466998286,-0.016197984466998286,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,-0.00020492500544963687,-0.00020492500544963687,-0.00020492500544963687,-0.013270063129946875,-0.013270063129946875,-0.013270063129946875,0.0,0.0,0.0,-0.012232936633000766,VECHAIN,VET
5,2019-03-06,0.003981331120315704,-0.04822911379565001,0.026152344894955465,0.003981331120315704,0.003981331120315704,-0.015388629154762072,-0.015388629154762072,-0.015388629154762072,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,-0.00027364147087216855,-0.00027364147087216855,-0.00027364147087216855,-0.01239199135228813,-0.01239199135228813,-0.01239199135228813,0.0,0.0,0.0,-0.011407298034446369,VECHAIN,VET
6,2019-03-07,0.003997614406633886,-0.046808917229894144,0.025048529863113487,0.003997614406633886,0.003997614406633886,-0.014569830797137232,-0.014569830797137232,-0.014569830797137232,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,-0.0003300343466857838,-0.0003300343466857838,-0.0003300343466857838,-0.011516800118849676,-0.011516800118849676,-0.011516800118849676,0.0,0.0,0.0,-0.010572216390503346,VECHAIN,VET
7,2019-03-08,0.00401389769295207,-0.04415309248860733,0.026458436581048034,0.00401389769295207,0.00401389769295207,-0.013054992452563662,-0.013054992452563662,-0.013054992452563662,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,0.00032445775947550115,0.00032445775947550115,0.00032445775947550115,-0.01065645388043739,-0.01065645388043739,-0.01065645388043739,0.0,0.0,0.0,-0.009041094759611592,VECHAIN,VET
8,2019-03-09,0.004030180979270252,-0.045174693569070105,0.02706465779883018,0.004030180979270252,0.004030180979270252,-0.012403566143063687,-0.012403566143063687,-0.012403566143063687,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,0.00014210170405114039,0.00014210170405114039,0.00014210170405114039,-0.009822671515513057,-0.009822671515513057,-0.009822671515513057,0.0,0.0,0.0,-0.008373385163793434,VECHAIN,VET
9,2019-03-10,0.004046464265588435,-0.04330462626334404,0.02662501711418988,0.004046464265588435,0.004046464265588435,-0.011353670371415275,-0.011353670371415275,-0.011353670371415275,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,0.0003959133909653924,0.0003959133909653924,0.0003959133909653924,-0.009026587430778896,-0.009026587430778896,-0.009026587430778896,0.0,0.0,0.0,-0.00730720610582684,VECHAIN,VET
10,2019-03-11,0.004062747551906618,-0.044664785440714186,0.030895535909193736,0.004062747551906618,0.004062747551906618,-0.01105528608293511,-0.01105528608293511,-0.01105528608293511,-0.0027229963316017717,-0.0027229963316017717,-0.0027229963316017717,-5.387203148324212e-05,-5.387203148324212e-05,-5.387203148324212e-05,-0.008278417719850096,-0.008278417719850096,-0.008278417719850096,0.0,0.0,0.0,-0.0069925385310284915,VECHAIN,VET
